,feature,coef
1,garden_area,1.2169214546330502e+17
26,district_Halle-Vilvoorde,3.227718623187981e+16
14,district_Antwerp,3.142982147690423e+16
51,district_Turnhout,3.047520013883424e+16
32,district_Liège,2.9777478038934292e+16
31,district_Leuven,2.8977096874766404e+16
13,district_Aalst,2.808467369846445e+16
25,district_Gent,2.724391575170477e+16
30,district_Kortrijk,2.555579515727291e+16
40,district_Nivelles,2.4930146472237784e+16
20,district_Charleroi,2.4783121309774484e+16
27,district_Hasselt,2.4310663080719056e+16
35,district_Mechelen,2.341121702410927e+16
21,district_Dendermonde,2.1423973054640668e+16
36,district_Mons,2.022431048626465e+16
45,district_Sint-Niklaas,1.994329742295183e+16
42,district_Oudenaarde,1.923726584644464e+16
38,district_Namur,1.8806356564398224e+16
18,district_Brugge,1.8772761330861972e+16
44,district_Roeselare,1.7624935746628918e+16
46,district_Soignies,1.7370874175214536e+16
50,district_Tournai,1.6698436571098578e+16
41,district_Oostend,1.5631619075805554e+16
52,district_Verviers,1.5216272820335526e+16
49,district_Tongeren,1.4875146228020734e+16
48,district_Tielt,1.4831922288346064e+16
33,district_Maaseik,1.4745073186321772e+16
47,district_Thuin,1.474507318631401e+16
16,district_Ath,1.4075695865774458e+16
23,district_Dinant,1.4075695865771416e+16
28,district_Huy,1.3610215541296866e+16
19,district_Brussels,1.3467284330227668e+16
55,district_Waremme,1.292907442993262e+16
37,district_Mouscron,1.2878982691556294e+16
22,district_Diksmuide,1.2727475750888874e+16
24,district_Eeklo,1.2522499462179488e+16
53,district_Veurne,1.2048055925374846e+16
39,district_Neufchâteau,1.1994138321587516e+16
34,district_Marche-en-Famenne,1.188554317854148e+16
29,district_Ieper,1.1153026255236932e+16
15,district_Arlon,1.0797646966705634e+16
54,district_Virton,9785218047724412.0
17,district_Bastogne,8875806981673345.0
43,district_Philippeville,8875806981672879.0
0,living_area,35263.51008698167
11,epc,31185.368257259484
12,area_total,28173.75515215518
6,facades,21078.616231033404
7,kitchen,16142.742831996275
3,bathrooms,9542.665992625887
2,bedrooms,6178.536300342568
4,livingroom_surface,1024.689406175312
5,kitchen_surface,-3289.9194891498314
8,has_terrace,-5817.2694792369075
10,has_basement,-12566.529137606383
61,state_construction_TO_RESTORE,-1.3226904952850024e+16
58,state_construction_JUST_RENOVATED,-2.841534924928509e+16
59,state_construction_TO_BE_DONE_UP,-4.5053727467458824e+16
60,state_construction_TO_RENOVATE,-5.380828633792667e+16
56,state_construction_AS_NEW,-5.431209252138317e+16
62,state_construction_nan,-6.946831401221955e+16
57,state_construction_GOOD,-7.63101869284757e+16
9,has_attic,-1.216921454633114e+17
