,feature,coef
1,garden_area,1.8921555653988724e+16
8,epc,47434.128916733694
0,living_area,46431.630753619276
6,facades,28992.723732948565
3,bathrooms,10261.961723125343
2,bedrooms,3436.9223250758623
4,livingroom_surface,479.80995210008405
5,kitchen_surface,-4393.586264108082
13,district_Bastogne,-3281004662536259.5
39,district_Philippeville,-3281004662537279.0
50,district_Virton,-3617174878268578.0
11,district_Arlon,-3991426370041551.5
25,district_Ieper,-4122794830972829.5
30,district_Marche-en-Famenne,-4393574878998565.0
35,district_Neufchâteau,-4433717839680782.0
49,district_Veurne,-4453648862248410.0
20,district_Eeklo,-4629030262454486.0
18,district_Diksmuide,-4704801193525214.0
33,district_Mouscron,-4760806802908258.0
51,district_Waremme,-4779323567357385.0
15,district_Brussels,-4978276653597476.0
24,district_Huy,-5031112184083491.0
12,district_Ath,-5203180269615065.0
19,district_Dinant,-5203180269619336.0
29,district_Maaseik,-5450620318080886.0
43,district_Thuin,-5450620318086676.0
44,district_Tielt,-5482724701286422.0
45,district_Tongeren,-5498702735508513.0
48,district_Verviers,-5624802586729405.0
37,district_Oostend,-5778338259990234.0
46,district_Tournai,-6172694872688360.0
42,district_Soignies,-6421266176561666.0
40,district_Roeselare,-6515181828633330.0
14,district_Brugge,-6939483652820096.0
34,district_Namur,-6951902367908490.0
38,district_Oudenaarde,-7111191023730740.0
41,district_Sint-Niklaas,-7372180576467384.0
32,district_Mons,-7476059037672550.0
17,district_Dendermonde,-7919522768705268.0
31,district_Mechelen,-8654121520442412.0
23,district_Hasselt,-8986608100165588.0
16,district_Charleroi,-9161255617368626.0
36,district_Nivelles,-9215604505785358.0
26,district_Kortrijk,-9446879955672996.0
21,district_Gent,-1.007090564172789e+16
9,district_Aalst,-1.0381697747638296e+16
27,district_Leuven,-1.0711588270089954e+16
28,district_Liège,-1.1007454813501514e+16
47,district_Turnhout,-1.1265372709595018e+16
10,district_Antwerp,-1.1618255221276502e+16
22,district_Halle-Vilvoorde,-1.1931489580425186e+16
7,has_attic,-1.8921555654001016e+16
